Date, Close/Last, Volume, Open, High, Low
01/13/2020, $47.97, 18243200, $47.31, $47.98, $47.299
01/10/2020, $47.13, 13504600, $47.48, $47.56, $47.06
01/09/2020, $47.32, 18211200, $47.79, $47.88, $47.07
01/08/2020, $47.52, 25181660, $46.97, $47.785, $46.81
01/07/2020, $47.49, 16566640, $47.72, $47.72, $47.1
01/06/2020, $47.8, 22185270, $47.14, $47.82, $47.01
01/03/2020, $47.63, 15587710, $47.91, $48.135, $47.48
01/02/2020, $48.42, 16710080, $48.06, $48.42, $47.88
12/31/2019, $47.96, 14894740, $47.54, $47.98, $47.41
12/30/2019, $47.59, 12129050, $47.75, $47.88, $47.29
12/27/2019, $47.77, 11058980, $47.99, $48.05, $47.68
12/26/2019, $47.85, 11122020, $47.78, $48, $47.65
12/24/2019, $47.78, 7044728, $48.16, $48.245, $47.65
12/23/2019, $48.1, 20255220, $47.55, $48.3, $47.422
12/20/2019, $47.45, 52583720, $48.25, $48.37, $47.42
12/19/2019, $47.88, 30768600, $47.15, $47.99, $47.11
12/18/2019, $46.64, 21928070, $46.52, $46.755, $46.25
12/17/2019, $46.44, 22510490, $46.22, $46.52, $45.93
12/16/2019, $45.98, 21875700, $45.8, $46.59, $45.8
12/13/2019, $45.3, 21801580, $45.91, $46.05, $45.2
12/12/2019, $45.67, 27073510, $44.545, $45.77, $44.41
12/11/2019, $44.28, 16451400, $44.36, $44.45, $44.15
12/10/2019, $44.1, 21863860, $43.85, $44.18, $43.8
12/09/2019, $43.9, 17659770, $43.89, $44.37, $43.75
12/06/2019, $43.84, 16544120, $43.89, $44.06, $43.65
12/05/2019, $43.52, 22637280, $44.05, $44.1, $43.4
12/04/2019, $43.89, 17206920, $44.52, $44.55, $43.86
12/03/2019, $44.28, 20331670, $44.4, $44.49, $43.74
12/02/2019, $44.7, 17647590, $45.25, $45.33, $44.67
11/29/2019, $45.31, 9808886, $45.24, $45.54, $45.15
11/27/2019, $45.24, 14895010, $45.36, $45.415, $44.9259
11/26/2019, $45.31, 29424780, $45.53, $45.77, $45.25
11/25/2019, $45.45, 19654600, $45, $45.55, $44.93
11/22/2019, $44.85, 18725690, $45.15, $45.17, $44.69
11/21/2019, $44.84, 19868780, $45.13, $45.15, $44.69
11/20/2019, $45.08, 18668520, $45.69, $45.74, $44.93
11/19/2019, $45.47, 19619580, $45.39, $45.595, $45.08
11/18/2019, $45.15, 22746710, $44.98, $45.19, $44.44
11/15/2019, $45.09, 32387640, $45.07, $45.65, $44.81
11/14/2019, $44.91, 65609860, $45.56, $46, $44.6
11/13/2019, $48.46, 27250240, $48.24, $48.85, $48.15
11/12/2019, $48.37, 15641770, $48.29, $48.74, $48.12
11/11/2019, $48.1, 19595430, $48.01, $48.47, $47.56
11/08/2019, $48.83, 14414060, $48.42, $48.85, $48.05
11/07/2019, $48.42, 16717750, $48.61, $48.98, $48.2
11/06/2019, $48.27, 15904470, $47.81, $48.5, $47.785
11/05/2019, $47.76, 18988940, $47.59, $47.92, $47.26
11/04/2019, $47.48, 15018910, $47.5, $47.875, $47.32
11/01/2019, $47.03, 24404130, $46.85, $47.485, $46.64
10/31/2019, $47.51, 12488290, $47.6, $47.65, $47.1
10/30/2019, $47.56, 12062030, $47.3, $47.58, $47.16
10/29/2019, $47.24, 13713940, $47, $47.4261, $46.91
10/28/2019, $47.17, 13859730, $47.15, $47.6, $47.06
10/25/2019, $46.9, 15701150, $46.54, $46.99, $46.46
10/24/2019, $46.41, 18456390, $47.23, $47.23, $46.1
10/23/2019, $47.05, 15680880, $47.47, $47.7, $46.84
10/22/2019, $47.55, 15203850, $47.5, $47.885, $47.4
10/21/2019, $47.39, 14455710, $47.14, $47.48, $46.97
10/18/2019, $46.71, 17227400, $47.1, $47.27, $46.66
10/17/2019, $47.03, 14386300, $47.15, $47.3, $46.6
10/16/2019, $46.79, 16584360, $46.36, $46.875, $46.32
10/15/2019, $46.36, 18806670, $46.25, $46.58, $46.035
10/14/2019, $46.05, 15967130, $46.55, $46.55, $46
10/11/2019, $46.56, 25172220, $46.67, $47.3, $46.46
10/10/2019, $46.15, 25016700, $46.05, $46.23, $45.55
10/09/2019, $46.84, 16819430, $46.92, $47.1715, $46.655
10/08/2019, $46.39, 23711970, $47.5, $47.54, $46.35
10/07/2019, $47.77, 14937640, $47.47, $48.13, $47.32
10/04/2019, $47.52, 16775500, $47.25, $47.63, $46.95
10/03/2019, $47.06, 16533120, $46.32, $47.08, $45.7
10/02/2019, $46.56, 32061450, $47.35, $47.3752, $46.01
10/01/2019, $47.74, 24270300, $49.65, $49.87, $47.36
09/30/2019, $49.41, 15107110, $48.95, $49.66, $48.95
09/27/2019, $48.84, 16065690, $49, $49.47, $48.6
09/26/2019, $48.83, 20264360, $49.43, $49.49, $48.255
09/25/2019, $49.605, 15685240, $49.05, $49.77, $48.58
09/24/2019, $49.12, 27127180, $49.75, $50.2, $48.93
09/23/2019, $49.42, 19673530, $49.66, $49.75, $49.28
09/20/2019, $49.6, 49139600, $49.29, $49.87, $48.87
09/19/2019, $49.19, 15433810, $49.35, $49.92, $49.04
09/18/2019, $49.34, 12665180, $49.465, $49.74, $48.78
09/17/2019, $49.41, 16129130, $49.98, $50.02, $49.18
09/16/2019, $49.96, 13025570, $49.8, $50.18, $49.79
09/13/2019, $50.03, 15867790, $50.01, $50.22, $49.76
09/12/2019, $49.93, 16546700, $50.28, $50.3, $49.405
09/11/2019, $50.03, 18655960, $49.95, $50.07, $49.33
09/10/2019, $49.21, 16119220, $48.57, $49.345, $47.945
